trial,vizType,truePercent,reportedPercent,log2error
1,pie,23,20,1.6439
2,bar,36,39,1.6439
3,bar,36,34,1.0875
4,bar,48,48,0.0000
5,pie,58,63,2.3576
6,bar,75,73,1.0875
7,stacked,82,83,0.1699
8,bar,11,11,0.0000
9,bar,17,19,1.0875
10,bar,36,36,0.0000
11,stacked,59,60,0.1699
12,bar,57,55,1.0875
13,bar,36,34,1.0875
14,pie,74,69,2.3576
15,pie,53,52,0.1699
16,stacked,96,91,2.3576
17,pie,63,62,0.1699
18,bar,93,95,1.0875
19,stacked,15,18,1.6439
20,bar,80,78,1.0875
21,stacked,14,13,0.1699
22,bar,16,18,1.0875
23,bar,31,34,1.6439
24,pie,18,14,2.0444
25,pie,66,59,2.8329
26,pie,76,71,2.3576
27,pie,52,55,1.6439
28,pie,53,59,2.6147
29,pie,89,86,1.6439
30,pie,89,92,1.6439
31,bar,39,38,0.1699
32,stacked,33,31,1.0875
33,bar,8,8,0.0000
34,stacked,23,26,1.6439
35,pie,18,14,2.0444
36,pie,85,90,2.3576
37,stacked,97,97,0.0000
38,bar,23,24,0.1699
39,pie,11,11,0.0000
40,stacked,63,62,0.1699
41,bar,28,25,1.6439
42,stacked,74,78,2.0444
43,pie,30,20,3.3399
44,stacked,21,18,1.6439
45,stacked,91,96,2.3576
46,bar,72,71,0.1699
47,stacked,9,9,0.0000
48,pie,44,33,3.4757
49,stacked,85,91,2.6147
50,stacked,5,1,2.0444
51,pie,19,18,0.1699
52,stacked,32,20,3.5999
53,stacked,28,23,2.3576
54,pie,52,51,0.1699
55,bar,8,8,0.0000
56,stacked,90,91,0.1699
57,stacked,42,37,2.3576
58,bar,57,57,0.0000
59,pie,67,60,2.8329
60,stacked,99,100,0.1699
