trial,vizType,truePercent,reportedPercent,log2error
1,pie,92,100,3.0224
2,stacked,64,68,2.0444
3,stacked,32,31,0.1699
4,stacked,64,60,2.0444
5,stacked,51,51,0.0000
6,stacked,13,14,0.1699
7,bar,5,3,1.0875
8,stacked,78,87,3.1898
9,stacked,90,88,1.0875
10,stacked,90,91,0.1699
11,pie,65,69,2.0444
12,pie,92,89,1.6439
13,bar,14,13,0.1699
14,pie,42,44,1.0875
15,pie,21,25,2.0444
16,bar,62,59,1.6439
17,stacked,10,7,1.6439
18,stacked,36,36,0.0000
19,pie,14,23,3.1898
20,pie,90,89,0.1699
21,pie,54,59,2.3576
22,pie,9,6,1.6439
23,pie,99,98,0.1699
24,stacked,52,62,3.3399
25,bar,80,82,1.0875
26,stacked,7,7,0.0000
27,pie,61,59,1.0875
28,bar,77,78,0.1699
29,stacked,58,60,1.0875
30,bar,63,67,2.0444
31,bar,33,34,0.1699
32,pie,90,86,2.0444
33,bar,5,1,2.0444
34,bar,54,55,0.1699
35,pie,15,6,3.1898
36,pie,29,23,2.6147
37,stacked,89,89,0.0000
38,stacked,87,89,1.0875
39,stacked,34,25,3.1898
40,bar,43,43,0.0000
41,stacked,37,32,2.3576
42,pie,73,67,2.6147
43,bar,90,91,0.1699
44,bar,59,59,0.0000
45,bar,39,39,0.0000
46,pie,37,39,1.0875
47,pie,22,17,2.3576
48,bar,75,75,0.0000
49,stacked,71,69,1.0875
50,stacked,47,50,1.6439
51,pie,63,58,2.3576
52,bar,86,86,0.0000
53,pie,47,45,1.0875
54,pie,69,66,1.6439
55,bar,26,29,1.6439
56,bar,82,81,0.1699
57,bar,67,68,0.1699
58,bar,54,53,0.1699
59,stacked,29,34,2.3576
60,bar,84,86,1.0875
