trial,vizType,truePercent,reportedPercent,log2error
1,bar,15,15,0.0000
2,bar,17,17,0.0000
3,stacked,92,88,2.0444
4,pie,42,44,1.0875
5,bar,2,1,0.1699
6,bar,59,58,0.1699
7,bar,52,51,0.1699
8,bar,31,32,0.1699
9,pie,24,21,1.6439
10,bar,85,85,0.0000
11,pie,2,9,2.8329
12,pie,62,55,2.8329
13,stacked,57,60,1.6439
14,pie,22,22,0.0000
15,stacked,64,68,2.0444
16,pie,2,0,1.0875
17,pie,36,36,0.0000
18,pie,80,94,3.8202
19,pie,25,22,1.6439
20,stacked,62,63,0.1699
21,stacked,20,16,2.0444
22,pie,67,61,2.6147
23,pie,38,39,0.1699
24,pie,87,81,2.6147
25,stacked,80,77,1.6439
26,stacked,98,96,1.0875
27,stacked,90,91,0.1699
28,pie,33,39,2.6147
29,stacked,67,68,0.1699
30,stacked,67,70,1.6439
31,pie,62,72,3.3399
32,bar,36,36,0.0000
33,pie,82,78,2.0444
34,bar,31,29,1.0875
35,bar,68,70,1.0875
36,bar,93,90,1.6439
37,bar,39,38,0.1699
38,stacked,49,44,2.3576
39,bar,21,21,0.0000
40,bar,79,79,0.0000
41,stacked,49,52,1.6439
42,stacked,4,8,2.0444
43,pie,51,57,2.6147
44,pie,81,82,0.1699
45,bar,9,7,1.0875
46,bar,41,38,1.6439
47,stacked,76,72,2.0444
48,bar,33,31,1.0875
49,stacked,60,65,2.3576
50,stacked,70,70,0.0000
51,stacked,99,99,0.0000
52,pie,91,91,0.0000
53,pie,42,40,1.0875
54,stacked,73,68,2.3576
55,bar,18,18,0.0000
56,pie,60,60,0.0000
57,stacked,61,63,1.0875
58,bar,16,14,1.0875
59,bar,64,65,0.1699
60,stacked,54,50,2.0444
