trial,vizType,truePercent,reportedPercent,log2error
1,bar,23,24,0.1699
2,stacked,4,2,1.0875
3,pie,2,6,2.0444
4,bar,24,25,0.1699
5,bar,96,97,0.1699
6,pie,82,81,0.1699
7,bar,18,19,0.1699
8,stacked,8,12,2.0444
9,stacked,10,1,3.1898
10,pie,1,11,3.3399
11,stacked,88,93,2.3576
12,stacked,81,78,1.6439
13,bar,38,41,1.6439
14,bar,54,53,0.1699
15,pie,32,30,1.0875
16,pie,89,96,2.8329
17,pie,78,72,2.6147
18,pie,100,93,2.8329
19,bar,84,83,0.1699
20,stacked,98,97,0.1699
21,bar,33,33,0.0000
22,bar,44,44,0.0000
23,pie,90,86,2.0444
24,pie,41,37,2.0444
25,pie,91,94,1.6439
26,bar,20,21,0.1699
27,stacked,69,66,1.6439
28,stacked,65,59,2.6147
29,pie,71,81,3.3399
30,stacked,23,28,2.3576
31,bar,71,71,0.0000
32,pie,70,75,2.3576
33,bar,69,69,0.0000
34,stacked,22,20,1.0875
35,stacked,93,93,0.0000
36,stacked,75,73,1.0875
37,pie,59,52,2.8329
38,stacked,15,14,0.1699
39,pie,19,18,0.1699
40,stacked,63,63,0.0000
41,bar,72,74,1.0875
42,bar,21,21,0.0000
43,pie,57,49,3.0224
44,bar,17,18,0.1699
45,bar,49,52,1.6439
46,stacked,80,82,1.0875
47,bar,35,35,0.0000
48,stacked,32,31,0.1699
49,pie,83,91,3.0224
50,pie,25,27,1.0875
51,stacked,91,97,2.6147
52,pie,46,46,0.0000
53,stacked,94,100,2.6147
54,bar,54,52,1.0875
55,bar,60,60,0.0000
56,bar,96,99,1.6439
57,stacked,84,80,2.0444
58,pie,18,18,0.0000
59,pie,39,40,0.1699
60,stacked,31,34,1.6439
