trial,vizType,truePercent,reportedPercent,log2error
1,stacked,40,44,2.0444
2,pie,35,36,0.1699
3,pie,72,75,1.6439
4,bar,73,74,0.1699
5,stacked,23,24,0.1699
6,bar,53,56,1.6439
7,bar,88,87,0.1699
8,pie,3,0,1.6439
9,stacked,60,58,1.0875
10,bar,81,80,0.1699
11,stacked,100,100,0.0000
12,bar,9,7,1.0875
13,bar,55,57,1.0875
14,pie,74,69,2.3576
15,pie,54,45,3.1898
16,bar,92,94,1.0875
17,pie,22,24,1.0875
18,stacked,37,36,0.1699
19,bar,38,39,0.1699
20,stacked,3,0,1.6439
21,bar,86,85,0.1699
22,stacked,93,92,0.1699
23,stacked,9,8,0.1699
24,pie,88,79,3.1898
25,pie,27,23,2.0444
26,pie,77,80,1.6439
27,stacked,37,38,0.1699
28,stacked,30,27,1.6439
29,stacked,70,77,2.8329
30,bar,58,59,0.1699
31,stacked,89,87,1.0875
32,pie,37,32,2.3576
33,bar,48,49,0.1699
34,pie,71,70,0.1699
35,pie,97,93,2.0444
36,bar,80,80,0.0000
37,pie,61,60,0.1699
38,bar,89,89,0.0000
39,stacked,86,88,1.0875
40,bar,61,63,1.0875
41,stacked,47,48,0.1699
42,stacked,95,91,2.0444
43,stacked,63,72,3.1898
44,pie,63,68,2.3576
45,stacked,38,38,0.0000
46,pie,75,69,2.6147
47,pie,19,16,1.6439
48,pie,97,92,2.3576
49,bar,97,98,0.1699
50,bar,50,49,0.1699
51,pie,2,0,1.0875
52,stacked,3,0,1.6439
53,bar,66,68,1.0875
54,bar,60,59,0.1699
55,pie,98,88,3.3399
56,stacked,92,87,2.3576
57,bar,25,24,0.1699
58,bar,83,82,0.1699
59,pie,63,70,2.8329
60,stacked,83,89,2.6147
