trial,vizType,truePercent,reportedPercent,log2error
1,pie,55,58,1.6439
2,stacked,86,82,2.0444
3,pie,33,31,1.0875
4,pie,22,25,1.6439
5,stacked,3,1,1.0875
6,pie,40,34,2.6147
7,bar,4,4,0.0000
8,bar,88,91,1.6439
9,stacked,11,15,2.0444
10,bar,3,3,0.0000
11,stacked,43,44,0.1699
12,pie,72,79,2.8329
13,stacked,12,11,0.1699
14,pie,86,79,2.8329
15,pie,82,75,2.8329
16,stacked,6,9,1.6439
17,pie,68,66,1.0875
18,stacked,93,93,0.0000
19,stacked,36,33,1.6439
20,stacked,11,9,1.0875
21,bar,73,73,0.0000
22,bar,74,73,0.1699
23,pie,5,3,1.0875
24,pie,6,3,1.6439
25,pie,61,66,2.3576
26,pie,98,96,1.0875
27,stacked,11,12,0.1699
28,stacked,17,21,2.0444
29,bar,24,23,0.1699
30,pie,79,73,2.6147
31,bar,81,81,0.0000
32,bar,94,93,0.1699
33,bar,51,48,1.6439
34,stacked,41,37,2.0444
35,bar,57,55,1.0875
36,pie,10,0,3.3399
37,bar,56,56,0.0000
38,pie,76,73,1.6439
39,stacked,17,23,2.6147
40,pie,57,58,0.1699
41,stacked,40,41,0.1699
42,pie,33,29,2.0444
43,pie,28,25,1.6439
44,bar,71,70,0.1699
45,stacked,88,89,0.1699
46,stacked,23,21,1.0875
47,bar,6,6,0.0000
48,pie,34,37,1.6439
49,stacked,77,80,1.6439
50,bar,92,93,0.1699
51,bar,60,63,1.6439
52,bar,41,42,0.1699
53,stacked,9,15,2.6147
54,bar,93,91,1.0875
55,bar,16,17,0.1699
56,pie,25,35,3.3399
57,stacked,70,71,0.1699
58,bar,48,46,1.0875
59,stacked,63,63,0.0000
60,bar,74,74,0.0000
