trial,vizType,truePercent,reportedPercent,log2error
1,pie,74,65,3.1898
2,bar,35,37,1.0875
3,pie,97,100,1.6439
4,pie,29,32,1.6439
5,bar,27,28,0.1699
6,stacked,2,4,1.0875
7,stacked,34,27,2.8329
8,stacked,77,84,2.8329
9,pie,2,0,1.0875
10,stacked,94,100,2.6147
11,pie,42,46,2.0444
12,stacked,41,40,0.1699
13,bar,83,86,1.6439
14,pie,96,88,3.0224
15,bar,89,91,1.0875
16,pie,19,20,0.1699
17,pie,83,76,2.8329
18,pie,40,50,3.3399
19,bar,38,40,1.0875
20,stacked,21,21,0.0000
21,stacked,72,75,1.6439
22,bar,3,2,0.1699
23,pie,48,47,0.1699
24,pie,80,79,0.1699
25,stacked,89,86,1.6439
26,pie,43,35,3.0224
27,bar,76,78,1.0875
28,pie,90,88,1.0875
29,pie,97,98,0.1699
30,bar,22,22,0.0000
31,bar,41,37,2.0444
32,bar,41,40,0.1699
33,pie,78,75,1.6439
34,bar,73,74,0.1699
35,stacked,79,89,3.3399
36,pie,90,96,2.6147
37,bar,67,67,0.0000
38,pie,41,41,0.0000
39,pie,62,68,2.6147
40,pie,86,93,2.8329
41,bar,86,88,1.0875
42,stacked,74,71,1.6439
43,stacked,63,62,0.1699
44,stacked,67,70,1.6439
45,stacked,11,8,1.6439
46,stacked,100,98,1.0875
47,bar,33,32,0.1699
48,stacked,5,6,0.1699
49,bar,89,93,2.0444
50,bar,80,79,0.1699
51,stacked,3,11,3.0224
52,bar,60,60,0.0000
53,bar,46,43,1.6439
54,stacked,79,78,0.1699
55,bar,59,58,0.1699
56,pie,4,0,2.0444
57,bar,77,80,1.6439
58,stacked,65,67,1.0875
59,stacked,44,46,1.0875
60,stacked,33,34,0.1699
