trial,vizType,truePercent,reportedPercent,log2error
1,bar,52,52,0.0000
2,pie,2,0,1.0875
3,bar,79,79,0.0000
4,pie,68,69,0.1699
5,stacked,66,62,2.0444
6,bar,11,12,0.1699
7,pie,92,93,0.1699
8,pie,39,24,3.9189
9,pie,39,43,2.0444
10,stacked,94,91,1.6439
11,pie,45,42,1.6439
12,bar,19,18,0.1699
13,stacked,73,68,2.3576
14,pie,70,75,2.3576
15,stacked,4,4,0.0000
16,pie,41,34,2.8329
17,stacked,71,67,2.0444
18,bar,74,75,0.1699
19,stacked,57,61,2.0444
20,bar,56,59,1.6439
21,pie,67,69,1.0875
22,bar,89,91,1.0875
23,bar,8,7,0.1699
24,stacked,39,35,2.0444
25,stacked,27,29,1.0875
26,stacked,34,34,0.0000
27,bar,22,24,1.0875
28,bar,36,36,0.0000
29,stacked,13,11,1.0875
30,bar,31,32,0.1699
31,stacked,91,93,1.0875
32,pie,70,70,0.0000
33,stacked,44,45,0.1699
34,pie,85,86,0.1699
35,bar,66,65,0.1699
36,pie,66,65,0.1699
37,bar,50,51,0.1699
38,stacked,2,4,1.0875
39,bar,96,94,1.0875
40,pie,97,91,2.6147
41,bar,24,25,0.1699
42,pie,56,53,1.6439
43,pie,72,75,1.6439
44,stacked,24,20,2.0444
45,stacked,53,54,0.1699
46,bar,25,25,0.0000
47,stacked,93,94,0.1699
48,bar,71,69,1.0875
49,stacked,88,88,0.0000
50,pie,53,57,2.0444
51,bar,6,6,0.0000
52,pie,80,77,1.6439
53,pie,17,14,1.6439
54,pie,53,55,1.0875
55,bar,63,63,0.0000
56,bar,28,28,0.0000
57,stacked,91,84,2.8329
58,pie,56,57,0.1699
59,stacked,58,57,0.1699
60,stacked,9,5,2.0444
